country,carrier,2030,2040,2050
AT,gas,5956.410963689999,13.68732865,
AT,hydro,13063.904246499998,52535.61150416,54073.797922130005
AT,oil,8.6383968,,
AT,onwind,29435.824536630003,55810.196175499994,66939.02040967
AT,solar,21678.43809717,50714.89076856,62472.13806909
BE,biofuels,529.74301282,1697.0487546,1504.63823852
BE,gas,25139.06200515,29246.223129380003,25063.11282804
BE,hydro,909.60279906,905.21166574,1085.35015744
BE,offwind,17270.30359782,24436.81312227,27926.079369159997
BE,oil,22.23351857,26.56375,
BE,onwind,12867.145871409999,24890.05661338,30220.85692973
BE,solar,16952.071411819998,32023.089039489998,43032.86072567
BG,coal & lignite,18075.76063874,,
BG,gas,2132.61261282,6385.31295098,3469.5340667100004
BG,hydro,4688.27388495,5268.15931946,5665.03961053
BG,nuclear,15720.3431626,,
BG,offwind,,,336.6841772
BG,onwind,4868.88641697,18003.62473621,28883.245946410003
BG,solar,10283.78905279,21137.70907417,32346.754632700002
CZ,coal & lignite,20974.64977478,,
CZ,gas,5629.8334917600005,13894.474023010003,10329.83884217
CZ,hydro,3032.05098517,3141.20938338,3249.26323034
CZ,nuclear,26630.82134072,13487.49830831,
CZ,onwind,15273.37223182,32391.50146347,41423.664089950005
CZ,solar,10227.02893722,22275.654402250002,34654.42366662
DE,coal & lignite,65763.81950156,,
DE,gas,65441.37575347,78124.74517779,66214.42513876
DE,hydro,31073.35737893,35427.45331255,33920.55926268
DE,offwind,136337.78909955,229726.9690014,281555.00323681
DE,oil,48.2349912,60.98576464,
DE,onwind,201975.59919413,331269.04154711,392591.20413386
DE,solar,108732.07045836,218834.47116954002,262836.45154521
DK,biofuels,4042.17853687,6661.79798212,2385.60757389
DK,gas,928.97714235,780.6947886999999,673.4474183499999
DK,offwind,57740.00916494,119669.16292,148617.14779351
DK,oil,29.90008654,57.501421359999995,
DK,onwind,15686.01468951,20541.70789446,26809.90379613
DK,solar,15642.80514948,26000.14242372,37321.35836709
EE,biofuels,282.75251481,404.85534555,336.15517098
EE,gas,,,25.74430624
EE,offwind,543.30065128,2714.86515708,3710.49622816
EE,oil,153.17100871,26.4198459,
EE,onwind,3662.32209532,3795.78292195,6999.0934164400005
EE,solar,607.66818045,1162.8897247099999,2087.27712822
ES,gas,7956.4886031,29200.00326431,28383.20495882
ES,hydro,40860.343025769995,43707.21504871,41549.03972721
ES,offwind,6873.88727299,9731.34914165,16498.44570136
ES,onwind,145209.42846295,202917.50604722,265878.14855776
ES,solar,120692.34561767,224843.61797176,285678.40575452
FI,biofuels,861.2622433500001,2409.6994349799998,1810.2905601500001
FI,gas,166.34218414999998,219.8909239,18.053951389999998
FI,hydro,15170.34920616,15194.48449785,12459.33306092
FI,nuclear,16598.26774554,12189.19996863,6561.05291468
FI,offwind,3545.85107543,11793.3204929,25064.73311913
FI,onwind,75512.56994797,157409.00135618,186454.96849711
FI,solar,4406.17772126,9475.31350316,17487.55672054
FR,gas,9346.873741059999,16421.77857567,14107.162715229999
FR,hydro,25259.53866485,63018.416079919996,58977.971615450006
FR,nuclear,420775.1325253,221232.75972757,89713.25265243
FR,offwind,36769.4504103,135519.23886398002,201433.72895334
FR,oil,12.83488657,,
FR,onwind,113060.28998166001,234660.56890267998,306587.62359974004
FR,solar,108250.8635758,203980.79706715,262954.30368674
GB,biofuels,121.16156734,111.3699414,79.94256222
GB,gas,31800.146975400003,34962.989789930005,25367.73113215
GB,hydro,6090.60343071,7355.7346237,6487.37083705
GB,nuclear,34798.56755101,30517.35484263,31166.99124894
GB,offwind,135482.83387047,250851.07399899,453923.27680776
GB,oil,4.97483043,4.9914,
GB,onwind,68514.1811189,110134.33821488002,167934.33336773
GB,solar,41985.63663575,84359.46560256,112151.28824097
GR,gas,10156.414300429999,19590.679276619998,15554.281155329998
GR,hydro,7034.96368663,7226.17335601,7765.919060910001
GR,offwind,1759.74425282,4574.61460146,7943.20666581
GR,onwind,40044.08921908,50577.90440252,60122.115088
GR,solar,21830.57970103,37907.82711513,56856.58485251
HR,gas,918.55113092,838.67023411,2.99002869
HR,hydro,8561.25266308,8678.50638902,8658.53203278
HR,onwind,12384.4211306,21544.6132712,26968.89899702
HR,solar,2121.92892635,4463.25539545,8715.416395100001
HU,biofuels,29.41099795,,
HU,gas,3639.8280192200004,3861.43667182,1931.02408124
HU,hydro,222.91394231,223.18788462,222.91394231
HU,nuclear,7787.0737437,,
HU,onwind,15913.830891839998,39081.208517650004,48061.546152869996
HU,solar,13815.36309377,26903.92594838,38258.13606203
IE,biofuels,15.1515,171.68428483,71.94441008
IE,coal & lignite,259.45915656,,
IE,gas,5977.52360118,10626.07817351,3734.5080289899997
IE,hydro,1135.8439449,1090.62390518,694.45312501
IE,offwind,20186.93832545,36368.63295403,98081.01565542
IE,oil,2.39298802,,
IE,onwind,16749.886593260002,32769.18638461,23345.303321209998
IE,solar,1071.67636159,2654.07800969,2847.98516028
IT,gas,87980.67048376003,103633.57188239998,106988.49082624
IT,hydro,48291.45785898,54317.508512659995,56071.7731134
IT,offwind,22037.4947173,30525.716311509997,35717.791901200006
IT,onwind,46938.09876769,61402.64273548,72111.19174406
IT,solar,113563.90529506,200472.80013533,260075.15448080003
LT,gas,675.43289438,893.8911554,136.76250234
LT,hydro,1376.41059796,1387.2707579,1293.85110183
LT,offwind,4812.62396893,4818.22200459,6881.25062492
LT,oil,17.34413123,33.66950726,
LT,onwind,10322.42155365,13255.10671634,13425.41550984
LT,solar,1623.6573157999999,1911.55751847,3207.52051381
LU,gas,,45.2479717,99.57242925
LU,hydro,506.39481584000004,634.90591468,552.42125564
LU,onwind,794.71284498,877.2295664999999,1289.76158422
LU,solar,654.12052576,922.02266457,2948.40335013
LV,gas,2734.7092302700003,2100.31217437,145.8902698
LV,hydro,12.63651691,3134.1972365,3135.4486553
LV,offwind,1407.29979762,3015.97985452,5026.99576786
LV,onwind,626.59502472,3063.6373452899998,3210.09646589
LV,solar,180.0104865,818.9905181199999,1496.21045688
NL,biofuels,6782.4405248,,
NL,gas,25131.618290420003,80246.39142377,79648.16504295
NL,hydro,123.03940789,123.05124232,114.69622917
NL,nuclear,3701.34105219,,
NL,offwind,59398.97435404,166190.06629098998,260122.96218282
NL,onwind,22064.24666584,35910.64799081,39542.02629928
NL,solar,49508.529678399995,73774.07674313,106219.67616043001
PL,biofuels,3071.2222221,,
PL,coal & lignite,50238.46734448,,
PL,gas,19054.15583628,55691.98284196,45860.26764914
PL,hydro,2896.63451395,2980.93132189,2825.83664512
PL,offwind,28580.82773317,44204.64891372,62597.76570294
PL,onwind,61851.522892470006,116940.65494365,166822.05545245
PL,solar,9891.2623286,20979.49537243,41513.10511328
PT,gas,2407.44457067,6157.00499746,5064.85748374
PT,hydro,14287.704186129999,15167.242279670001,15270.571882549999
PT,offwind,660.94526171,1456.82273063,2442.80105715
PT,onwind,29876.11882599,54008.6210448,66774.30977287
PT,solar,21438.64712175,37863.69759822,51669.21136335
RO,coal & lignite,11995.08160545,,
RO,gas,7150.267984189999,15997.507587769998,9831.657566450001
RO,hydro,19134.34419413,19299.39614516,19321.26471622
RO,nuclear,10103.33539178,9711.25142048,4679.36617154
RO,onwind,35966.52303236,75754.02042391,98342.10115673002
RO,solar,15782.479921260001,27175.163194309996,51710.85590264
SE,gas,17.78413339,197.8615073,47.56724886
SE,hydro,87472.81731561999,85540.17921238,71590.10604135999
SE,nuclear,20234.15461623,,
SE,offwind,2696.96292486,14600.97432256,41375.10008366
SE,onwind,65550.29101480999,93986.17025991,108099.41456767
SE,solar,11340.52076216,18641.6484683,27574.9098305
SI,coal & lignite,3882.40911505,,
SI,gas,553.25526933,469.89606003,483.62462918999995
SI,hydro,18.038251969999997,5098.6351934,5924.16005756
SI,nuclear,5666.85669007,5158.244231600001,
SI,offwind,,,119.73735082
SI,onwind,182.3939583,550.44751993,669.31136122
SI,solar,2593.1008122900002,7243.48521072,9324.486142220001
SK,biofuels,1788.0975782599999,1697.8433307200003,1677.80095705
SK,coal & lignite,443.52841774,,
SK,gas,945.6359077200001,1726.4438196300002,2140.6091141999996
SK,hydro,2526.1158611299998,2608.13826061,2644.39559337
SK,nuclear,21843.32389489,20914.92538557,10225.19652089
SK,oil,11.94395635,38.36633913,
SK,onwind,713.15526237,921.4017946,1171.25849496
SK,solar,1410.65938384,1604.6627022,2795.65283853
