;2015;2020;2025;2030;2035;2040;2045;2050
AT;28,5;29,3;34,4;38,0;30,6;34,7;34,5;35,5
BE;37,7;37,9;48,8;53,5;57,7;59,2;60,4;59,2
BG;8,9;9,8;10,5;12,0;13,0;14,1;14,6;14,7
CH;15,3;13,8;16,1;16,4;16,4;16,4;16,3;16,2
CY;0,7;0,8;1,0;1,0;1,0;1,1;1,1;1,1
CZ;22,7;24,4;26,1;32,6;30,1;36,3;37,4;38,3
DE;225,1;216,3;237,0;264,3;266,9;267,3;268,1;261,5
DK;8,0;8,0;8,3;8,5;9,0;7,3;7,3;7,3
EE;2,1;2,1;2,6;2,4;2,3;2,2;2,0;2,0
EL;12,7;12,8;12,8;13,2;13,5;13,4;13,3;13,2
ES;76,1;75,7;98,2;103,5;107,9;113,3;110,8;109,5
FI;37,9;38,9;32,1;29,7;25,1;25,0;24,1;24,1
FR;112,7;111,9;129,9;132,7;135,4;139,6;128,0;128,0
HR;3,4;3,6;3,6;4,3;5,0;5,7;6,2;6,3
HU;15,4;17,8;17,8;20,2;20,8;23,5;25,1;25,7
IE;6,9;8,1;8,1;8,8;9,9;10,8;11,3;11,4
IT;112,6;119,5;134,0;139,1;145,3;147,4;149,3;149,4
LT;3,3;3,8;3,8;4,0;4,6;5,2;5,5;5,6
LU;3,2;3,0;3,4;3,8;3,9;4,0;4,1;4,1
LV;1,7;1,8;1,3;1,1;1,0;1,0;0,8;0,7
MT;0,6;0,7;0,7;0,6;0,6;0,6;0,6;0,6
NL;34,4;35,7;40,6;60,2;66,0;81,1;90,4;93,4
NO;44,5;46,3;42,3;41,9;41,4;42,1;41,5;41,3
PL;54,5;63,4;63,4;64,7;66,4;77,7;80,5;81,2
PT;15,6;16,8;17,4;20,6;22,9;25,0;26,8;27,2
RO;20,5;22,6;22,6;24,0;24,3;26,7;29,5;30,2
SE;49,3;48,6;51,3;51,3;52,3;54,3;54,2;54,2
SI;6,2;6,5;6,5;6,3;6,5;6,7;6,8;6,9
SK;11,8;12,2;13,0;15,5;12,0;13,8;14,2;15,0
UK;92,9;91,6;106,2;119,8;115,5;121,9;125,4;127,2
;;;;;;;;
EU27;912,4;932,3;1029,0;1116,0;1133,9;1197,2;1207,0;1206,3
EU28;1005,3;1023,9;1135,3;1235,8;1249,4;1319,1;1332,5;1333,5
EU30;1065,1;1084,0;1193,7;1294,1;1307,1;1377,6;1390,2;1391,0
