toccfreschf;2015;2020;2025;2030;2035;2040;2045;2050
AT;60,3;57,2;52,9;46,0;42,4;38,6;34,4;30,0
BE;71,2;68,9;63,5;53,4;47,4;41,6;36,5;32,9
BG;18,0;17,5;16,8;14,5;13,5;12,6;11,8;11,0
CH;44,2;42,0;39,5;35,7;34,5;33,1;30,9;28,4
CY;1,3;1,4;1,5;1,3;1,3;1,2;1,2;1,1
CZ;58,8;55,9;52,6;45,0;40,7;36,6;32,6;28,7
DE;432,8;453,1;419,7;362,3;318,6;272,2;217,5;162,9
DK;38,6;38,6;35,5;32,6;29,4;26,5;24,1;21,4
EE;5,9;5,9;5,9;5,1;4,7;4,3;4,1;3,8
EL;35,8;34,5;32,8;28,9;26,0;22,8;19,3;14,9
ES;71,1;71,1;67,9;64,8;62,8;60,4;58,0;55,6
FI;44,6;41,3;37,7;32,5;29,8;27,0;23,9;20,8
FR;316,6;306,3;273,7;209,8;168,4;136,6;117,6;111,5
HR;20,9;18,6;16,6;13,3;11,2;9,2;7,5;5,9
HU;56,3;52,7;49,3;40,2;34,4;28,7;24,2;19,9
IE;18,9;19,3;19,6;17,9;17,5;16,9;16,2;15,3
IT;255,2;257,4;255,8;236,6;204,8;165,3;114,5;86,3
LT;12,7;12,2;11,9;9,9;8,8;7,8;7,1;6,5
LU;5,0;5,2;5,2;4,4;3,8;3,2;2,7;2,1
LV;9,2;8,4;7,7;6,4;5,8;5,3;4,7;4,2
MT;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,2
NL;78,7;75,2;70,8;63,4;60,6;57,4;52,9;48,3
NO;33,7;33,6;33,4;30,5;29,7;28,8;27,5;26,2
PL;165,0;154,4;144,5;127,1;119,8;112,4;103,4;94,6
PT;7,4;7,4;7,3;7,2;7,1;7,0;6,8;6,7
RO;53,2;52,2;50,6;44,8;42,7;40,8;38,9;37,1
SE;55,0;55,4;45,9;42,4;32,9;29,4;27,0;25,9
SI;9,2;8,6;7,9;6,9;6,3;5,8;5,2;4,6
SK;15,6;15,4;15,1;14,9;14,6;14,3;14,0;13,6
UK;285,0;281,1;275,6;246,4;234,8;222,3;209,0;194,9
;;;;;;;;
EU27;1917,4;1894,3;1768,7;1531,6;1355,6;1184,2;1006,4;865,9
EU28;2202,4;2175,4;2044,3;1777,9;1590,4;1406,5;1215,4;1060,8
EU30;2280,2;2251,0;2117,3;1844,2;1654,7;1468,3;1273,8;1115,4
