elccfter;2015;2020;2025;2030;2035;2040;2045;2050
AT;12,2;12,3;11,8;10,8;10,1;9,2;9,5;9,1
BE;22,6;22,8;22;19,9;17,5;14,3;15,4;14,6
BG;7,4;7,5;7;6,5;6;5,5;5,3;5,2
CH;17,4;18;18,1;17,4;17,2;16,8;17,4;16,3
CY;1,6;1,6;1,6;1,6;1,6;1,5;1,6;1,7
CZ;16,3;16,5;15,8;14;12,3;10,1;10,2;9,6
DE;136,2;135,7;130,1;124,4;118,2;110,3;105,3;99,2
DK;10,1;10,1;12,9;14,6;15,1;16;15,9;15,9
EE;2,8;2,9;2,5;2;1,6;1,2;1,1;1
EL;17,1;17,1;15,9;16,1;15,1;14,5;13,9;13,8
ES;70,6;71,2;75,2;74,8;74;70,6;74,5;71,7
FI;16,8;17,6;15;12,2;10;7,9;6,8;6,2
FR;127,7;122,3;115,1;106,2;97,2;89,3;82,2;76,9
HR;5,3;5,4;5,2;4,7;4,4;3,9;3,9;3,7
HU;9,5;9,6;9,7;9,3;9;8,4;9,3;9
IE;8,6;8,7;8,6;8,2;7,9;7,4;7,6;7,5
IT;81;81;82,7;80,8;77,8;72,1;80,4;77,6
LT;3,3;3,3;3;2,6;2,3;2;1,9;1,8
LU;2;2;1,8;1,5;1,1;0,7;0,7;0,7
LV;3;3,3;2,8;2,3;1,8;1,3;1,3;1,2
MT;0,9;0,9;1;1;1;1;1;1
NL;34,4;35,5;36,2;35,3;35,4;34,9;36,7;34,9
NO;21,2;21,8;19;15,8;13,2;10,6;9,2;8,7
PL;51,2;51,8;48,1;43;39;34,8;33,7;32,1
PT;14,2;14,4;13,6;12,8;11,8;10,8;11,1;10,8
RO;9,1;9,2;10,3;10,9;11,4;11,6;12,8;12,6
SE;25,2;19,7;20,5;22,6;25,9;28,5;30,8;32,3
SI;3,8;3,9;3,6;3,2;2,9;2,6;2,4;2,3
SK;7,5;7,5;7,2;6,5;5,7;4,7;5;4,9
UK;101,3;101,4;101,7;97,7;94,3;88,9;97,1;95
;;;;;;;;
EU27;700,3;693,8;679,1;647,6;615,8;575,1;580,3;557,4
EU28;801,6;795,2;780,9;745,3;710,1;664;677,4;652,4
EU30;840,2;835,1;817,9;778,5;740,5;691,4;704;677,4
