caight;2015;2020;2025;2030;2035;2040;2045;2050
AT;;;;;;;;
BE;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BG;;;;;;;;
CH;;;;;;;;
CY;;;;;;;;
CZ;;;;;;;;
DE;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
DK;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EE;;;;;;;;
EL;0,0;0,0;0,0;0,2;0,3;0,4;0,5;0,5
ES;;;;;;;;
FI;;;;;;;;
FR;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
HR;;;;;;;;
HU;;;;;;;;
IE;;;;;;;;
IT;0,8;0,8;0,8;0,8;0,8;0,8;1,3;1,3
LT;;;;;;;;
LU;;;;;;;;
LV;;;;;;;;
MT;;;;;;;;
NL;;;;;;;;
NO;;;;;;;;
PL;;;;;;;;
PT;;;;;;;;
RO;;;;;;;;
SE;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
SI;;;;;;;;
SK;;;;;;;;
UK;;;;;;;;
;;;;;;;;
EU27;0,8;0,8;0,8;1,0;1,1;1,3;1,9;1,9
EU28;0,8;0,8;0,8;1,0;1,1;1,3;1,9;1,9
EU30;0,8;0,8;0,8;1,0;1,1;1,3;1,9;1,9
