caispv;2015;2020;2025;2030;2035;2040;2045;2050
AT;0,9;2,0;7,0;15,8;24,6;33,3;37,2;37,2
BE;3,2;6,3;11,0;18,0;28,0;40,0;45,0;50,0
BG;1,0;1,1;3,5;8,4;13,2;18,0;22,8;24,7
CH;1,4;2,9;8,3;17,4;26,5;35,6;40,0;40,0
CY;0,1;0,2;0,6;1,2;1,9;2,5;3,1;3,4
CZ;2,1;2,1;5,9;10,7;16,5;24,0;31,4;32,0
DE;39,2;53,7;105,5;212,2;302,6;360,0;370,0;370,0
DK;0,8;1,3;5,7;8,0;11,0;13,0;13,0;13,0
EE;0,0;0,2;0,6;1,0;1,5;2,0;2,1;2,1
EL;2,6;3,3;6,5;10,0;12,5;15,0;17,0;18,7
ES;4,7;11,7;26,3;59,1;88,6;101,0;107,1;109,0
FI;0,0;0,3;1,1;2,5;3,8;5,2;5,7;5,7
FR;6,5;10,7;28,0;59,6;100,1;145,6;180,8;200,7
HR;0,0;0,1;1,1;3,0;5,0;6,9;8,8;9,7
HU;0,2;1,8;5,1;9,8;14,6;19,4;24,2;26,0
IE;0,0;0,1;2,1;6,1;10,1;14,0;16,0;16,0
IT;18,9;21,7;39,7;64,7;97,2;129,7;157,2;179,7
LT;0,1;0,2;0,5;1,0;1,6;2,1;2,3;2,3
LU;0,1;0,2;0,4;0,6;0,9;1,1;1,4;1,5
LV;0,0;0,0;0,3;0,9;1,4;2,0;2,3;2,3
MT;0,1;0,2;0,3;0,4;0,6;0,7;0,7;0,7
NL;1,5;10,9;22,7;36,8;50,9;65,0;67,4;67,4
NO;0,0;0,2;1,1;2,9;4,6;6,3;7,0;7,0
PL;0,1;4,0;16,6;38,1;59,6;81,1;89,0;89,0
PT;0,4;1,1;4,0;9,0;14,1;19,1;24,2;26,4
RO;1,3;1,4;4,8;11,7;18,5;25,4;32,2;35,6
SE;0,1;1,0;1,5;4,0;10,0;15,0;20,0;22,0
SI;0,2;0,4;1,1;2,4;3,6;4,9;5,5;5,5
SK;0,5;0,5;2,2;5,5;8,8;12,1;15,4;15,6
UK;9,6;13,6;25,2;44,3;63,5;82,6;90,1;90,1
;;;;;;;;
EU27;84,9;136,5;304,0;600,5;901,0;1158,2;1301,9;1366,1
EU28;94,5;150,1;329,2;644,8;964,5;1240,8;1392,0;1456,2
EU30;95,8;153,2;338,6;665,0;995,6;1282,7;1439,0;1503,2
