prbelcchpboi;2015;2020;2025;2030;2035;2040;2045;2050
AT;1,9;2,8;2,8;2,8;2,8;2,8;2,8;2,8
BE;1,2;1,2;1,3;1,3;1,3;1,3;1,3;1,3
BG;0,0;0,9;0,9;0,8;0,8;0,8;0,8;0,8
CH;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CZ;1,6;2,2;2,2;2,2;2,2;2,2;2,2;2,2
DE;5,9;5,7;1,7;1,6;1,6;1,5;1,5;1,4
DK;2,8;4,3;4,3;3,0;2,7;2,2;2,2;0,0
EE;0,5;0,9;0,9;0,8;0,7;0,6;0,5;0,5
EL;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ES;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8
FI;8,1;9,6;9,6;9,6;9,6;9,6;9,6;9,6
FR;0,7;0,9;1,2;1,6;1,9;2,2;2,5;2,8
HR;0,0;0,4;0,4;0,4;0,4;0,4;0,4;0,4
HU;0,5;0,6;0,6;0,6;0,6;0,6;0,6;0,6
IE;0,0;0,1;0,1;0,1;0,1;0,1;0,1;0,1
IT;1,8;2,0;2,0;2,0;2,0;2,0;2,0;2,0
LT;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3
LU;0,0;0,1;0,1;0,1;0,1;0,1;0,1;0,1
LV;0,4;0,5;0,5;0,5;0,5;0,5;0,5;0,5
MT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
NL;1,2;2,2;1,9;1,6;1,2;0,9;0,5;0,5
NO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PL;2,9;3,8;3,8;3,8;3,8;3,8;3,8;3,8
PT;1,7;1,6;1,6;1,6;1,6;1,6;1,6;1,6
RO;0,4;0,3;0,3;0,3;0,3;0,3;0,3;0,3
SE;8,7;12,0;12,0;12,0;12,0;12,0;12,0;12,0
SI;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
SK;0,9;0,4;0,4;0,4;0,4;0,4;0,4;0,4
UK;1,1;0,9;0,9;0,9;0,9;0,9;0,9;0,9
;;;;;;;;
EU27;42,5;54,1;49,9;48,4;47,9;47,2;47,0;45,1
EU28;43,6;54,9;50,8;49,3;48,8;48,0;47,9;46,0
EU30;43,6;55,0;50,8;49,3;48,8;48,1;47,9;46,0
