prbelcchpgaz;2015;2020;2025;2030;2035;2040;2045;2050
AT;3,4;3,8;3,8;2,9;1,9;1,0;0,0;0,0
BE;11,4;13,2;12,9;12,1;10,5;8,9;6,7;5,5
BG;0,8;1,5;1,5;1,2;0,8;0,4;0,0;0,0
CH;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CZ;0,7;1,2;1,2;1,1;0,9;0,7;0,5;0,5
DE;73,9;84,6;84,6;65,0;39,0;2,0;0,0;0,0
DK;1,8;1,2;0,9;0,7;0,5;0,5;0,5;0,5
EE;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EL;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ES;23,2;27,6;23,5;19,3;13,8;6,9;0,0;0,0
FI;2,8;2,1;2,1;1,6;1,0;0,5;0,0;0,0
FR;3,5;3,9;4,3;0,0;0,0;0,0;0,0;0,0
HR;0,7;1,7;1,7;1,3;0,9;0,4;0,0;0,0
HU;2,8;3,1;3,1;2,5;1,9;1,3;0,7;0,7
IE;2,0;1,9;1,9;1,5;1,1;0,7;0,3;0,3
IT;80,0;91,9;91,9;66,4;46,5;28,4;17,9;9,4
LT;0,7;0,4;0,4;0,3;0,2;0,1;0,0;0,0
LU;0,3;0,2;0,2;0,1;0,1;0,0;0,0;0,0
LV;1,7;1,4;1,4;1,0;0,7;0,3;0,0;0,0
MT;0,0;0,2;0,2;0,1;0,1;0,1;0,0;0,0
NL;22,3;25,3;25,3;19,6;13,9;8,1;2,4;2,4
NO;0,0;1,9;1,9;1,4;0,9;0,5;0,0;0,0
PL;2,5;4,1;4,1;3,6;3,0;2,5;2,0;2,0
PT;3,1;3,1;3,1;2,3;1,6;0,8;0,0;0,0
RO;3,1;3,5;3,5;2,6;1,8;0,9;0,0;0,0
SE;1,0;0,6;0,0;0,0;0,0;0,0;0,0;0,0
SI;0,3;0,4;0,4;0,3;0,2;0,1;0,0;0,0
SK;1,4;0,9;0,9;0,7;0,5;0,3;0,1;0,1
UK;13,7;20,0;20,0;16,4;12,8;9,3;5,7;5,7
;;;;;;;;
EU27;243,4;277,8;272,9;206,3;140,9;64,9;31,2;21,5
EU28;257,2;297,8;292,9;222,7;153,7;74,2;36,9;27,1
EU30;257,2;299,7;294,8;224,2;154,7;74,7;36,9;27,1
