Categories,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2025,2030,2035,2040,2045,2050
Nuclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RES wind-onshore,2379.45,2446.45,2835.95,2853.85,2853.85,2853.85,2853.85,2853.85,2853.85,2853.85,2934.1,3080.5,3242.1000000000004,3546.9,3615.9,3804.9,3804.9,3804.9,3804.9,3804.9,3804.9,3804.9,3847.1505376344085,4037.634408602151,4355.10752688172,4672.580645161291,4990.05376344086,5307.526881720431,5625.000000000001
RES wind-offshore,10.55,50.55,59.05,266.15,426.15,426.15,426.15,426.15,426.15,663.65,870.6500000000001,874.25,924.65,1273.85,1273.85,1273.85,1273.85,1273.85,1273.85,1273.85,1273.85,3190.2416129032254,5118.757419354838,10904.304838709677,20546.88387096774,30189.462903225805,39832.041935483874,49474.62096774193,59117.2
RES solar pv,1,1,2,2,2,3,3,3,3,5,7,17,402,571,607,782,782,782,782,782,782,906.7838709677419,1054.8258064516128,1498.9516129032254,2239.16129032258,2979.3709677419356,3719.5806451612893,4459.790322580645,5199.999999999999
RES other solar csp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RES other marine,,,,,,,,,,,,,,,,,,,,,3.1290322580644996,17.158064516129002,31.1870967741935,73.2741935483871,143.4193548387096,213.5645161290322,283.7096774193548,353.8548387096774,423.99999999999994
RES other hydroelectric,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
RES other geothermal,,,,,,,,,,,,,,,,,,,,,,6.6666666666666,13.3333333333333,33.3333333333333,66.6666666666666,100,133.33333333333331,166.6666666666666,200
Solid biomass and waste,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,14.4,14.4,14.4,14.4,14.4,14.4,13.4709677419354,13.4709677419354,13.4709677419354,13.4709677419354,13.4709677419354,13.4709677419354,13.4709677419354,9.4709677419354
Total,2411.3999999999996,2519.3999999999996,2918.3999999999996,3143.3999999999996,3303.3999999999996,3304.3999999999996,3304.3999999999996,3304.3999999999996,3304.3999999999996,3543.8999999999996,3833.15,3993.15,4590.150000000001,5413.15,5518.15,5886.15,5886.15,5886.15,5886.15,5886.15,5889.279032258064,7950.221182795698,10089.725161290322,16571.969354838708,27375.709677419356,38179.45,48983.190322580645,59786.930645161294,70586.67096774193
