Categories,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2025,2030,2035,2040,2045,2050
Nuclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RES wind-onshore,237,276,292,408,480,602,748,849,982,1140,1336,1651,1764,1842,1940,2089,2367,2624,2860,3607,4120,4842.000000000001,5564,7730,11340,14950,18560.000000000004,22170,25780
RES wind-offshore,,,,,,,,,,,,,,,,,,,,,,,,,978.2608695652173,2608.695652173913,4239.130434782609,5869.565217391305,7500
RES solar pv,,1,1,1,1,1,5,9,12,47,212.99999999999991,534,1554,2447,2591,2604,2604,2604,2647,2795,3237,4462.433333333333,5687.866666666667,9364.166666666666,15491.333333333332,21618.5,27745.666666666664,33872.833333333336,40000
RES other solar csp,,,,,,,,,,,,,,,,,,,,,9.6774193548387,19.3548387096774,29.0322580645161,58.0645161290322,106.4516129032258,154.8387096774193,203.2258064516129,251.6129032258065,300
RES other marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RES other hydroelectric,3018,3018,3037,3043,3054,3062,3074,3099.5,3176,3194,3215,3223,3229,3238,3238,3242,3242,3401,3410,3411,3416,3435.4666666666667,3454.9333333333334,3513.333333333333,3610.6666666666665,3708,3805.3333333333335,3902.666666666666,4000
RES other geothermal,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10.645161290322502,20.2903225806451,29.9354838709677,58.870967741935395,107.0967741935483,155.3225806451612,203.54838709677412,251.7741935483871,300
Solid biomass and waste,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,
Total,3255,3295,3330,3452,3535,3666,3828,3958.5,4171,4382,4765,5409,6548,7528,7770,7937,8215,8631,8919,9815,10794.322580645161,12780.545161290323,14766.767741935484,20725.435483870966,31634.80925666199,43196.356942496495,54757.904628331,66319.45231416551,77880
