Categories,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2025,2030,2035,2040,2045,2050
Nuclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RES wind-onshore,362.92,663.92,779.92,873.9200000000001,1126.9199999999998,1634.9199999999998,1901.92,2701.92,3524.9,4879,5794,6918,8102,8542,8683,9137,9137,9137,9137,9137,9384.838709677419,11072.010752688171,12759.182795698924,17820.698924731183,26256.559139784946,34692.41935483871,43128.279569892475,51564.139784946245,60000
RES wind-offshore,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,233.33333333333331,466.6666666666667,1166.6666666666667,2333.333333333333,3500,4666.666666666667,5833.333333333333,7000
RES solar pv,19,20,22,26,31,34,45,110,483,1264,3592.0000000000005,13131,16785,18185,18594,18901,18901,18901,18901,18901,19512.67741935484,26695.58817204301,33878.49892473118,55427.231182795695,91341.78494623654,127256.3387096774,163170.89247311826,199085.44623655916,235000
RES other solar csp,,,,,,,,,,,,,,,,,,,,,,321.6333333333333,643.2666666666667,1608.1666666666663,3216.333333333333,4824.5,6432.666666666666,8040.833333333334,9649
RES other marine,,,,,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,3.3707526881720002,6.7027956989247,16.6989247311828,33.3591397849462,50.019354838709596,66.6795698924731,83.3397849462365,100
RES other hydroelectric,13478.84,13592.380000000001,13672.050000000001,13816.26,13900.04,13999.94,13999.94,13999.94,13999.94,13999.94,14107.58,14333.72,14502.41,14516.52,14517.060000000001,14540.300000000001,14540.300000000001,14540.300000000001,14540.300000000001,14540.300000000001,14540.300000000001,14540.300000000001,14540.300000000001,15170,16241,17311.999999999996,18383,19454,20525
RES other geothermal,650.5,650.5,753.5,799.5,799.5,799.5,799.5,799.5,799.5,799.5,830.5,830.5,830.5,830.5,878.5,878.5,878.5,878.5,878.5,878.5,878.5,910.9602150537636,967.8236559139784,1138.4139784946237,1422.731182795699,1707.0483870967741,1991.3655913978496,2275.682795698925,2560
Solid biomass and waste,244.12,274.11999999999995,315.72,330.32,372.32,372.32,372.32,447.32,447.32,447.32,447.32,447.32,447.32,447.32,447.32,447.32,447.32,447.32,447.32,447.32,447.32,418.4606451612903,418.4606451612903,418.4606451612903,418.4606451612903,290.2606451612903,215.26064516129028,215.26064516129028,215.26064516129028
Total,14755.460000000001,15201,15543.27,15846.08,16229.86,16840.76,17118.760000000002,18058.760000000002,19254.74,21389.840000000004,24771.480000000003,35660.66,40667.350000000006,42521.46000000001,43120,43904.240000000005,43904.240000000005,43904.240000000005,43904.240000000005,43904.240000000005,44763.75612903226,54195.657204301075,63680.90215053763,92766.33698924731,141263.56172043007,189632.58645161288,238054.81118279567,286552.0359139785,335049.26064516127
